episode_idx,auto_region_id,flag,metric,value,robust_z,eef_z_max,prelift_wrist,prelift_elbow,peak_episode_step
40,region_00,EEF_PEAK_OUTLIER,eef_z_max,0.19154551594659164,6.933676082200695,0.19154551594659164,-86.16775998202237,-51.43318765813654,158
45,region_00,EEF_PEAK_OUTLIER,eef_z_max,0.2031012528224713,7.621431569082611,0.2031012528224713,-90.94936440207742,-59.266545382413,192
46,region_00,EEF_PEAK_OUTLIER,eef_z_max,0.20236505672716537,7.577615851451957,0.20236505672716537,-92.055063421076,-61.97836199673739,191
46,region_00,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-61.97836199673739,-2.6225897962262206,0.20236505672716537,-92.055063421076,-61.97836199673739,191
47,region_00,EEF_PEAK_OUTLIER,eef_z_max,0.18889021899410952,6.775642451980001,0.18889021899410952,-83.40716830166903,-63.650414206764914,198
47,region_00,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-63.650414206764914,-3.1211329642872427,0.18889021899410952,-83.40716830166903,-63.650414206764914,198
49,region_00,EEF_PEAK_OUTLIER,eef_z_max,0.18011452415057194,6.253344969381355,0.18011452415057194,-84.4982251253995,-50.99058602072976,213
58,region_00,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-21.455669576471504,9.459755082962195,0.07144767496318548,-73.44853973388672,-21.455669576471504,157
54,region_02,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-25.62877620350231,5.08017553903215,0.06495968091320953,-76.41416098854758,-25.62877620350231,169
98,region_02,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-17.85162284157493,6.2514250041299695,0.06508238234545036,-68.2129398692738,-17.85162284157493,130
72,region_03,EEF_PEAK_OUTLIER,eef_z_max,0.06133045690753924,-2.714532837685958,0.06133045690753924,-95.00604248046875,-50.800899505615234,206
72,region_03,PEAK_TIMING_OUTLIER,peak_episode_step,206.0,2.5789705882352942,0.06133045690753924,-95.00604248046875,-50.800899505615234,206
75,region_03,EEF_PEAK_OUTLIER,eef_z_max,0.0629867876460691,-2.671110600003465,0.0629867876460691,-76.83154504949397,-19.453421332619406,170
75,region_03,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-19.453421332619406,2.6256611777078005,0.0629867876460691,-76.83154504949397,-19.453421332619406,170
77,region_03,EEF_PEAK_OUTLIER,eef_z_max,0.0657347306928105,-2.5990707390397847,0.0657347306928105,-60.897740450772375,-6.231558236208829,123
77,region_03,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-6.231558236208829,4.121723642725044,0.0657347306928105,-60.897740450772375,-6.231558236208829,123
77,region_03,PEAK_TIMING_OUTLIER,peak_episode_step,123.0,-4.007323529411765,0.0657347306928105,-60.897740450772375,-6.231558236208829,123
77,region_03,WRIST_OUTLIER,action.wrist_flex.pos.mean,-60.897740450772375,2.908931706761439,0.0657347306928105,-60.897740450772375,-6.231558236208829,123
78,region_03,EEF_PEAK_OUTLIER,eef_z_max,0.06501381739553089,-2.617970145912309,0.06501381739553089,-64.96906419233842,-3.554868633096868,144
78,region_03,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-3.554868633096868,4.424592823605069,0.06501381739553089,-64.96906419233842,-3.554868633096868,144
99,region_03,EEF_PEAK_OUTLIER,eef_z_max,0.06191466973913723,-2.6992171595785006,0.06191466973913723,-97.43711575594816,-48.87593043934215,181
80,region_04,EEF_PEAK_OUTLIER,eef_z_max,0.18993022106206514,5.64392857657566,0.18993022106206514,-79.80448774857955,-35.75242389332164,165
81,region_04,EEF_PEAK_OUTLIER,eef_z_max,0.18529343312681845,5.419055554566615,0.18529343312681845,-90.7003999189897,-54.02557303688743,182
85,region_04,EEF_PEAK_OUTLIER,eef_z_max,0.18900327504910008,5.59897393252343,0.18900327504910008,-90.33427359841086,-48.99536340886896,183
86,region_04,EEF_PEAK_OUTLIER,eef_z_max,0.19594456087427908,5.93560953931305,0.19594456087427908,-89.4262792413885,-61.66924285888672,188
87,region_04,EEF_PEAK_OUTLIER,eef_z_max,0.17410628474950632,4.876505863185069,0.17410628474950632,-79.87039184570312,-43.43824664029208,182
88,region_04,EEF_PEAK_OUTLIER,eef_z_max,0.16540990359691363,4.454752369681385,0.16540990359691363,-70.02160089666194,-42.09638873013583,185
95,region_04,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-13.081354488026012,5.044087461119877,0.07355476749517445,-69.09896295720881,-13.081354488026012,136
95,region_04,PEAK_TIMING_OUTLIER,peak_episode_step,136.0,-2.542346153846154,0.07355476749517445,-69.09896295720881,-13.081354488026012,136
96,region_04,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-7.545314051888206,5.84094811314794,0.06846070206216345,-65.52557095614347,-7.545314051888206,123
96,region_04,PEAK_TIMING_OUTLIER,peak_episode_step,123.0,-3.216846153846154,0.06846070206216345,-65.52557095614347,-7.545314051888206,123
30,region_05,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-28.28438984264027,2.826337204217804,0.0801806904519097,-74.89107860218395,-28.28438984264027,193
37,region_05,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-28.256287834861062,2.8292539899451636,0.08760733201736504,-77.05854311856356,-28.256287834861062,158
