episode_idx,grid_id,flag,metric,value,robust_z,eef_z_max,prelift_wrist,prelift_elbow,peak_episode_step
42,cell_x01_y01,EEF_PEAK_OUTLIER,eef_z_max,0.17691659120336078,10.17860451181884,0.17691659120336078,-84.16871018843217,-62.048615889115766,202
42,cell_x01_y01,WRIST_OUTLIER,action.wrist_flex.pos.mean,-84.16871018843217,7.6688887074553005,0.17691659120336078,-84.16871018843217,-62.048615889115766,202
44,cell_x01_y01,EEF_PEAK_OUTLIER,eef_z_max,0.1899863747075273,11.478236114261874,0.1899863747075273,-87.01717099276456,-63.566109743985265,190
44,cell_x01_y01,WRIST_OUTLIER,action.wrist_flex.pos.mean,-87.01717099276456,6.078698203491434,0.1899863747075273,-87.01717099276456,-63.566109743985265,190
46,cell_x01_y01,EEF_PEAK_OUTLIER,eef_z_max,0.20236505672716537,12.709146048170602,0.20236505672716537,-92.055063421076,-61.97836199673739,191
46,cell_x01_y01,WRIST_OUTLIER,action.wrist_flex.pos.mean,-92.055063421076,3.266228856078404,0.20236505672716537,-92.055063421076,-61.97836199673739,191
47,cell_x01_y01,EEF_PEAK_OUTLIER,eef_z_max,0.18889021899410952,11.369236710721477,0.18889021899410952,-83.40716830166903,-63.650414206764914,198
47,cell_x01_y01,WRIST_OUTLIER,action.wrist_flex.pos.mean,-83.40716830166903,8.094029427264257,0.18889021899410952,-83.40716830166903,-63.650414206764914,198
40,cell_x01_y02,EEF_PEAK_OUTLIER,eef_z_max,0.19154551594659164,12.485522199825033,0.19154551594659164,-86.16775998202237,-51.43318765813654,158
41,cell_x01_y02,EEF_PEAK_OUTLIER,eef_z_max,0.18687635213408868,12.000110072860316,0.18687635213408868,-92.7653482610529,-59.64591806585138,180
43,cell_x01_y02,EEF_PEAK_OUTLIER,eef_z_max,0.1902767873296372,12.353623581308431,0.1902767873296372,-92.2820649580522,-62.406913410533555,180
74,cell_x01_y02,PEAK_TIMING_OUTLIER,peak_episode_step,211.0,2.5753636363636363,0.07135495269609739,-99.31168434836648,-54.03962360728871,211
77,cell_x01_y02,ELBOW_OUTLIER,action.elbow_flex.pos.mean,-6.231558236208829,2.778317932579149,0.0657347306928105,-60.897740450772375,-6.231558236208829,123
77,cell_x01_y02,PEAK_TIMING_OUTLIER,peak_episode_step,123.0,-2.8206363636363636,0.0657347306928105,-60.897740450772375,-6.231558236208829,123
78,cell_x01_y03,PEAK_TIMING_OUTLIER,peak_episode_step,144.0,-2.6583235294117644,0.06501381739553089,-64.96906419233842,-3.554868633096868,144
