group,rank,layer,neuron,signed_score,abs_score,red_mean,green_mean,top1_token,top_tokens,top_logits,max_logit
red_positive,1,14,2064,0.0822285353535353,0.0822285353535353,-0.3954190340909091,-0.4776475694444444,mable,mable | brance | newaxis | oxia | izontal | sources | idimensional | cedented | cludes | requently,2.543535 | 2.442956 | 2.427859 | 2.360933 | 2.342805 | 2.276314 | 2.264123 | 2.253150 | 2.249332 | 2.224852,2.5435352325439453
red_positive,2,7,2415,0.08082904237689394,0.08082904237689394,0.15647194602272727,0.07564290364583333,ulph,ulph | lich | ('.// | Dougl | ation | Niño | unlock | ocker | lick | import,1.591188 | 1.343717 | 1.325281 | 1.230289 | 1.228322 | 1.220362 | 1.214252 | 1.212610 | 1.211085 | 1.206314,1.5911877155303955
red_positive,3,12,1164,0.08025568181818177,0.08025568181818177,-0.8220880681818182,-0.90234375,adays,adays | MODE | thorne | encers | amate | ounsaturated | killers | partum | vens | cgi,2.213020 | 1.848641 | 1.725916 | 1.698366 | 1.687619 | 1.625697 | 1.604493 | 1.604267 | 1.586399 | 1.564995,2.2130203247070312
red_positive,4,13,489,0.07674153645833334,0.07674153645833334,-0.16455078125,-0.24129231770833334,means,means | constell | amounts | all | basis | positional | clone | r | to | v,0.897395 | 0.850409 | 0.845860 | 0.793182 | 0.786816 | 0.781064 | 0.779308 | 0.776791 | 0.767725 | 0.762736,0.8973953723907471
red_positive,5,13,1775,0.0760337752525252,0.0760337752525252,-0.8714488636363636,-0.9474826388888888,?|,?| | ])[ | styles |  | Casc | downs | oule | dissol | cke | monaster,2.613278 | 2.359938 | 2.281010 | 2.205467 | 2.147769 | 2.146237 | 2.128222 | 2.124483 | 2.119534 | 2.117486,2.6132776737213135
red_positive,6,9,2466,0.07524848706794507,0.07524848706794507,-0.09141817959872159,-0.16666666666666666,ounsaturated,"ounsaturated | idisciplinary | PLA | zzo | PLOS | ifornia | [:,:, | ilated | capital | esville",1.639592 | 1.576435 | 1.545333 | 1.479189 | 1.473716 | 1.472373 | 1.460801 | 1.451447 | 1.434591 | 1.411327,1.6395916938781738
red_positive,7,11,225,0.07242345328282829,0.07242345328282829,-0.5456321022727273,-0.6180555555555556,OC,OC | yr | OCs | OC | Speed | ghai | vy | citiz | ostat | O,1.320046 | 1.248810 | 1.234507 | 1.228941 | 1.226714 | 1.219347 | 1.208593 | 1.191997 | 1.152253 | 1.140916,1.320046067237854
red_positive,8,14,1338,0.07228535353535359,0.07228535353535359,-1.3643465909090908,-1.4366319444444444,new,"new | “ |  | T | individual | "" | We | man | true | free",1.587699 | 1.480775 | 1.393320 | 1.333104 | 1.312288 | 1.234686 | 1.186600 | 1.164265 | 1.161153 | 1.160369,1.5876989364624023
red_positive,9,12,1106,0.07102272727272729,0.07102272727272729,-0.6242897727272727,-0.6953125,, | in | all | first | $ | et | ar | themselves | need | ets,1.484432 | 1.367618 | 1.345981 | 1.319257 | 1.275286 | 1.254425 | 1.246359 | 1.232714 | 1.226901 | 1.213063,1.4844324588775635
red_positive,10,15,878,0.0677280618686869,0.0677280618686869,0.3895596590909091,0.3218315972222222,, |  | the | a | just | out |  | their | - | (,1.501294 | 1.406156 | 1.383438 | 1.311307 | 1.290036 | 1.091516 | 1.087847 | 1.077229 | 1.071888 | 1.062617,1.501293659210205
green_positive,1,4,1183,-0.10385101010101017,0.10385101010101017,1.0688920454545454,1.1727430555555556,ceae,ceae | ️ |  | rupulous | IST | successfully | experiences | asures | idase | iences,1.531135 | 1.526928 | 1.453839 | 1.393907 | 1.339643 | 1.327676 | 1.271356 | 1.256542 | 1.235543 | 1.173302,1.5311346054077148
green_positive,2,3,1556,-0.08546401515151514,0.08546401515151514,-1.8771306818181819,-1.7916666666666667,," | ( | ' | "" | as | the | D | in | m | is",2.235409 | 2.056567 | 1.830125 | 1.814812 | 1.651568 | 1.646464 | 1.632631 | 1.600305 | 1.585316 | 1.535709,2.2354090213775635
